,41,动态网站,√,,,https://www.bodiesinmotion.photo/,无明确写出,是,动态参考
,41,设计师导航,√,,,http://www.uxmap.cn/page/#/uxmap/index,无明确写出,大部分可商用,各种设计师网站
,42,免费样机网站,√,,,https://www.logonews.cn/material,无明确写出,是,免费样机大合集
,43,精怪网站【知妖】,,,,https://www.cbaigui.com/,无明确写出,是,妖怪网站
,43,配色神器,,,,http://www.pc6.com/softview/SoftView_113688.html,无明确写出,是,生成色卡
,44,中国色网站,,,,http://zhongguose.com/#gulan,无明确写出,是,传统色大全
,45,昆虫参考网站,,,,http://microsculpture.net/orchid-bee-side.html,无明确写出,是,
,46,建模软件,,,,http://www.qijishow.com/down/MagicaVoxel.html,无明确写出,是,
,47,单色配色网站,,,,https://mycolor.space/?hex=%237AFF4E&sub=1,无明确写出,是,单色生成配套色卡
,48,C4D宝藏网站,,,,http://www.modown.cn,无明确写出,付费,各种C4D插件、材质、工程预设
,49,插件宝藏网站,,,,http://www.hoslin.cn,无明确写出,是,各种软件的插件、素材
,50,炫酷3D元素制作网站,,,,https://blobmixer.14islands.com,无明确写出,是,在线制作3D封面
,51,包装设计神器,,,,https://www.baoxiaohe.com,无明确写出,部分免费商用,在线包装设计
,52,宝藏笔刷库,,,,www.brusheezy.com,无明确写出,是,各类笔刷
,53,很牛逼的导航,,,,https://design.maliquankai.com,无明确写出,部分,各类素材
,54,神仙字体网站,,,,https://www.pslkzs.com/fonts.php,无明确写出,是,字体包，查版权
,55,奇迹秀工具箱,,,,http://www.qijishow.com/down/index.html,无明确写出,,各种软件，效率插件
,56,韩国站酷,,,,https://notefolio.net,无明确写出,,设计参考，灵感来源
,57,智能抠图网站,,,,https://www.remove.bg/zh,无明确写出,,智能抠图，在线编辑背景
,58,字节跳动图标库,,,,https://iconpark.oceanengine.com/home,无明确写出,是,图标
,59,条形码在线生成器,,,,http://www.free-barcode.com/cn/index.asp,无明确写出,是,生成条形码
,60,汉字拼音在线转换,,,,https://www.qqxiuzi.cn/zh/pinyin/,无明确写出,是,转换带声调的拼音
,61,UI设计灵感网站,,,,www.meiye.art,无明确写出,是,app界面  运营banner  插画等
,备注：标红为红色为推荐网站,,,,,,,,
最近好多野鸡机构的骗子（大鹏教育，火虎教育，优趣多教育，邢帅教育，插画喵等野鸡机构），冒充我们的老师，以发素材的名义，诈骗学费，已经有多名学生被骗学费定金，他们没有做短视频的能力，靠在各大短视频平台博主的评论区 私信骚扰粉丝    如果遇到请及时举报并保护好个人财产安全！！！,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
